ranhis,28923.222505662987
neckwhat,41272.39069616533
bleeding,29907.350740135644
motherf---er,44624.57092669079
flushed,29903.57138621728
stefannie,27433.551210164496
holstered,33369.05556360048
mewhen,33098.06094990045
abruptly,29142.97967671192
panicked,33609.98417226325
grabbed,34006.366280262635
pavementthe,29836.468450151773
choke,49554.07957818175
violently,31857.37123985146
threw,28441.362081024974
heaved,34586.88321266358
tackled,28363.128667197634
viljoen,27079.428314967874
shaking,29552.34931002582
stomachi,39908.00761527228
oatway,35254.798887966856
heelbut,43880.57599651152
licked,28284.28628430363
groina,27609.396302461355
bled,34240.28515985906
wiping,34532.19504110841
fist,32656.04334113754
banging,33945.23637727241
spilled,32790.09771524673
cried,38030.15252742209
chokehold,28018.49636610174
saidmoments,35119.84521429256
motionless,27846.975106767917
buckled,36830.19236618482
pavement,31185.89296564335
cornerthat,27725.79967897258
cigarette,40654.187100904965
vomited,31955.55764845587
pulled,29511.540486970196
durangobut,29160.635403835015
firedpolice,28123.862037079653
jonesafter,39044.34100267123
balal,37905.825569868415
dragged,31484.467961808874
clenching,32377.971014127837
uppeople,27439.535272636273
inhaler,28513.544910958466
gasping,50011.55294321069
laughtera,29196.541473615776
burnsi,33470.13923114339
slapped,31326.960945734932
allegedshe,28655.45026182057
bloodied,28015.636158815778
stomach,27497.78888521046
upshe,36852.58380364167
shouts,36254.27792461313
dragging,42142.68197821483
headwhen,29126.268855915223
blows,30130.53777794696
slapping,31317.667078922306
uncooperativebland,36177.888076449104
sidewalk,27604.98808947359
handcuffs,29443.322728113522
screaming,39308.22232218535
sobbing,28976.246536646864
shoved,36926.16843518776
chestsomeone,34381.780708681435
screamsofficers,29246.002239666726
safetybland,30890.006239941118
cocainedespite,35234.54368927983
rushing,29094.06277340503
screamed,62418.74265055873
choked,53427.586215971576
tossed,27639.822263923565
saidthen,29841.828014467927
smelled,32219.513298251866
foreverdunn,33335.47448007767
accidentally,37819.27061781064
kicking,32645.352565734185
punched,31366.49854267436
kassick,27653.743999108778
bottlethe,26924.34716992643
limp,38247.110247493845
agitated,27109.9752843612
altogethershe,33149.746643602106
crying,34542.431508404574
backsmith,33031.890919935286
tore,31104.50910148545
muffled,29350.3185613603
hysterical,29021.210903687243
punching,35937.65326636985
noticing,29890.90688894554
pumping,49583.092778698054
then-fiance,54262.47441130264
violentshe,29530.474689154205
fallenpolice,28335.25859710093
porchthe,28257.460899323352
sweating,49693.50311055338
rouer,31066.356026299283
throughwhen,29050.460782755345
