militancy,92493.56446680802
shia-majority,73473.85302390813
jabari,84262.53146816687
halim,77383.61441522498
forcethe,73032.16739168442
qaeda-inspired,81451.24239588213
hamas’,80756.800741106
syrialast,86656.11019925225
peninsula’s,96049.03926937572
hezbollahs,79937.76787730766
cross-border,76042.45724949012
musab,77370.21360626335
proxies,74651.76867524463
kashmiri’s,73063.70671529009
infiltration,74382.81604684835
al-shabab,72281.45971447875
“martyrdom”,82524.96845588583
iran-backed,91729.24675165946
zarqawi,75053.85461139312
hezbollah,73685.10802580934
qaedathe,75382.83770426689
iranian-built,72189.88550465644
isis’,79742.11234924242
aqi,71684.43882268456
mughniyeh,73240.30431284726
jinnah’s,91208.89715274604
al-suri,73616.92120923709
attacks—the,92214.25545712007
“martyrs”,73351.41220134379
command-and-control,78053.25137994223
beheadings,81657.55517011453
nusra’s,82361.40842652103
iranian-backed,110505.6238414974
qaeda-linked,83317.35159383467
jihadiststhe,79714.20476993396
fighters“the,95211.34141656235
talibans,89268.85302731913
hamass,78519.14132277296
fajr,75519.40857318754
qaeda–affiliated,79144.45404430282
firefights,80474.81109682497
affiliates”,89222.06489390011
us-backed,82813.44953895344
plotters,87956.61638353734
houthis,76111.35455500899
jihadists’,76700.13670104681
reprisal,87928.18963601532
aqim,73069.52321437652
syriathe,74101.2229348505
bombardment,115286.97197158492
mugniyah,120420.69687935968
al-qaduli,71652.1909467986
al-jabari,74847.27857951744
jundullah,87211.66039187035
pij,112226.96259214515
upsurge,78646.61383161084
maghreb,72876.00317893349
assassinations,79235.63625243572
let-up,89881.95022536954
assads,95901.30056116088
launchings,75390.36647479574
prc,77010.75780913
incursions,74272.70491120518
indiscriminate,71398.37460409968
zawahiri’s,90177.30658582538
houthi,79521.44961002303
tit-for-tat,77183.53505210041
terrorists ,81519.53387898629
afghanistanthis,74266.14045005378
attiyah,109172.27486385505
ad-din,87480.11009187704
al-qahtani,83376.31067887462
al-qaeda’s,90134.41420066633
golani,83321.09083062159
shia-dominated,78195.96408027294
bombersthe,80070.83429100929
militants’,92220.58720062648
al-libi,79911.69549204786
offensives,79256.83517898318
pro-al,98629.21765862219
savagery,80349.93097146293
al-zawahiri’s,83728.26970745194
extrajudicially,76311.87097371164
secret-police,81103.67732989912
shia-sunni,87593.97773887563
aidid,86089.66705135471
pro-iranian,86380.2606896429
qaeda-affiliated,97721.95244071794
allies’,72923.68841444286
al-zarqawi,103412.71923167442
hizbullah,77061.82643734431
mass-casualty,81793.971932011
american-led,111560.46714335353
assassinating,73705.02644883467
emirate,85051.50924630958
mahdi,73313.76896143546
guerrillas,85918.32051199581
foreign-backed,88529.1994781414
qassam,96535.19400479586
hezbollah’s,74635.96915064935
