uninfected,151999.37485006737
virusbut,178587.46910949715
hn,236307.8898696993
diarrhoeathe,145241.9371082757
hiv-,147306.3064411076
plague,115145.13674039578
pertussis,156644.74389589927
tetanus,125942.8336565257
sars-like,122488.39818040635
mutating,153785.20325576686
mosquitoes,195780.42095836267
leprosy,118103.26095159109
virusit,137536.97167347683
laboratory-confirmed,128146.35681713819
sars,166136.5726368497
infecting,256720.80953008906
virusthe,190619.19522851694
bacterium,205928.1973857594
fungal,150219.84158524784
infection,125099.30998343937
typhoid,193277.82301720482
haemolytic,152428.50226748016
fever,132317.78645105535
parasitic,202257.03107730547
virus,192401.47635785252
klebsiella,124956.64176809571
salmonella,169468.34579284868
superbug,131603.73446082225
drug-resistant,191982.37876318474
virusa,175507.91690073363
spreads,120413.86436659425
rashes,144583.95912343255
aureus,133701.64971568683
conjunctivitis,123844.47038050569
schmallenberg,122627.50842219964
chikungunya,329661.528291955
flu,146977.63899852545
uraemic,120953.01853985181
swine,124539.01577922402
streptococcus,139216.45377566267
haemorrhagic,126387.62921677055
ecoli,231124.28920055536
lassa,138559.4223677787
aegypti,294599.1405369725
encephalitis,116797.06069212675
phytophthora,122471.5696410362
paralytic,119646.90713668767
cramps,205214.77041166177
infect,137459.7894493594
mrsa,115234.61557546549
bacteria,171763.16561525996
virusthis,151938.67822283666
epidemicthe,123580.42265668757
pandemic,145759.53406749858
avian,123670.64089972388
contagious,128493.21316731654
staphylococcus,114554.55766037
infections,180816.6641358946
antibodies,189343.4641770833
disease-causing,140464.55768452658
rubella,129240.21555607505
mosquito-borne,310730.3367397295
epidemic,126152.85589255663
dysentery,123969.2922302396
ehec,133668.57170539943
gastrointestinal,141072.43789678268
untreatable,164808.8427759695
opv,130526.87264820593
pathogen,116589.03913994851
spreadthe,114799.88270046524
outbreaks,120646.76935581662
virusthere,186333.6429488491
diarrhoeal,164533.8427174857
feverthe,212632.05498938097
influenza,206730.3081149044
antibiotic-resistant,140580.16697154276
wolbachia,126561.05360120846
vaccines,127794.11053758113
inactivated,156427.08837093637
malaria,198712.52535788406
vaccinethe,154579.25823498933
diarrhoea,125223.28816190723
affectedone,124481.24926619774
outbreakan,149805.2770329379
bacterial,195087.28721284863
varroa,117651.531680768
diphtheria,130569.7287243304
mutate,145049.8481863655
disease,142198.71999944266
aedes,293187.19659842434
coronavirus,117664.54227641025
mers,153240.20172404277
mosquito,221004.29969155736
parasite,165545.43598453913
epidemics,276148.57302928163
parasites,154397.4741568487
zika,235756.7026691907
measles,115239.58887054764
insect-borne,145597.0569469732
poliovirus,198371.58226600027
