quarter-finals,194258.78165725854
djokovics,198119.9705459556
wozniackis,138071.0579569841
semi-finalist,128090.5058814487
stanislas,109983.00298614116
meadows,119075.35688987229
ivanovic,162244.02552239227
pennetta,129041.36905136524
claycourt,167933.34332192387
rafa,124290.22720664827
cibulkova,132878.14095226827
meadowsbut,138250.7976680703
dimitrov,124562.06721957163
wta,189147.53594210555
kyrgios,146725.6778283449
nishikoris,117773.24634089791
seeded,181185.6698035051
wimbledon,271027.3934756115
erranis,115524.00213111282
meadowsafter,118689.0605396712
berdych,143832.70364011065
monfils,145361.22621558284
wawrinkas,124583.05697250167
sasnovich,108749.19177549028
meadowsim,123641.79189491746
grasscourt,221570.62140287238
semis,108525.84543283739
seed,132307.62579832552
tomics,124127.52020891933
masters,157752.3361845963
semi-finals,161606.21808308474
mallorcan,119708.3819953419
slamthe,117208.05014240267
quarter-final,146766.9199900732
wimbledonthe,140124.77656671088
safarova,133934.08882874154
garros*,109870.04235775473
kvitova,146819.75844810915
bouchard,109230.11376267392
chardys,118420.64260444952
azarenkas,131484.22277061082
semi-finalsdjokovic,110998.57175361976
hardcourt,177014.77371764818
meadowsshe,165960.85258597462
saturdaywilliams,111030.72242258445
serena,161915.0424067823
matosevic,117411.34910145565
unseeded,146884.2727301543
tsonga,132431.29204806424
meadowsi,127538.31434373492
wozniacki,238627.72507185247
soderling,112549.81429248853
roddicks,118976.27808615608
wawrinka,184177.56722853045
runner-up,111988.81598730288
lucic-baroni,130483.05323900712
nishikori,146108.35001911793
finalwilliams,121429.0665651737
halep,213141.62264783029
atp,126541.00533043561
gasquet,112590.12415028828
semi-finalswilliams,123568.99589048013
kooyong,116654.70949247066
jo-wilfried,112433.51157176975
wimbledon*,118688.42693617067
finalmurray,117500.60981211497
opening-match,132724.98449375175
bencic,170636.43027449536
radwanska,152704.72240457905
garros,129135.14956579512
three-set,125916.79009274578
semi-final,186647.3210861241
quarter-finalist,142121.7641060608
netfederer,123232.31613640884
federers,183141.99065287568
muguruza,150967.66057836358
cilic,141555.39957811203
nadal,165906.2149142025
isner,136058.40517423462
nadals,209987.94741836784
sharapova,146788.68122735916
hardcourts,122890.15345218575
semi-finalwilliams,112022.1930711155
slamworld,119586.67046672771
federer,197946.67638664853
titleswilliams,113850.82158020826
five-set,140765.65097534872
double-faulted,118745.8067556248
three-setter,114989.61257679533
match,123318.74810848858
djokovicmurray,111853.9506001724
djokovic,220409.22945519089
azarenka,153075.19237582965
kuznetsova,116067.71043886968
appendicitis**,119465.4209090221
raonic,132054.0329892073
kyrgioss,152834.52405377262
grand-slam,118625.40543215796
bertens,114455.93148638519
frenchwoman,108391.42394233632
