oblique,206429.1370804191
ribcage,297042.9187130529
day--rhp,188542.16395927465
elbow,179826.2067174182
contusionrhp,176397.1985790992
issue--rhp,193536.8732165112
venditte,187213.3985583037
olecranon,231914.26736924433
hipleft,188944.24075575973
hand--rhp,211107.31597652187
finger--of,229916.75349427317
specialist--rhp,181709.08678424437
dislocated,184635.8740230658
shoulderb,190112.09527430107
strainlhp,211216.6885325515
week--rf,188669.56637475605
shoulder,247254.90998494934
ends--rhp,190749.7913518616
negative--c,185362.5215012152
scapula,180205.30679310806
year--lhp,200356.81767945254
forearm--rhp,211566.10524322375
inflammationlhp,185232.93337811137
weeks--lhp,210339.1385769277
furbush,183434.7130601544
game--inf,179768.46618902485
thursdayrhp,179132.07755079583
thumb,205050.96177023178
manship,176587.27982177382
lacerated,180668.0156182618
mid-foot,210970.24433093722
left-shin,191858.66941336697
pitch--rhp,187384.04939288084
elbowlhp,229862.75826328772
baltimore--rhp,176831.35110329746
start--b,209680.926922869
cramp,222809.22561279772
hamstring,190860.081433356
serious--c,186189.36847250708
assignment--lhp,177548.820828933
finger,298685.2046153059
sorenessrhp,193430.79810022996
start--rhp,205538.9611823766
game--rhp,203790.15104189084
subluxated,178074.99585797547
lower-back,222592.72106578792
gluteus,227269.54727130238
inflammation--rhp,191791.41963928725
break--inf,188184.06017085968
fingernail,186631.11788310937
calf,176184.5058853739
tightness,219401.70034140898
kneerhp,182704.0214452717
months--b,183802.28571274737
costochondritis,186517.77572003068
offseason--rhp,176690.2525658991
hand--lhp,206043.05714125797
strain--rhp,181691.55907797327
setback--b,180145.71241423895
trapezius,196214.46030062516
hyperextended,208834.42136944958
comeback--rhp,198075.10432909153
pinky,181851.58120355135
---lhp,187825.31441640202
sesamoid,201678.92395998293
lat,182840.5539740862
strain,204210.68196700374
tightnesslhp,188390.81229919658
doubleheader--rhp,202993.85024374622
return--rf,194897.93589517823
hamstring--rhp,182291.93663556819
strainrhp,220878.0840511687
pectoral,214209.19998558497
pain--rhp,184886.97424147942
unknown--of,200356.4072479379
unknown--lhp,189452.87755766304
inflammationrhp,196868.55672880763
forearm,281549.17564221047
non-throwing,206646.15701824185
texas--rhp,189459.4692389735
triceps,271405.83780979086
day-to-day--rf,193778.73810857986
wednesday--inf,178732.88884414712
nondisplaced,231361.52154950553
forearmrhp,211357.84425640778
mid-back,255856.5509006524
strain--b,203272.93612837794
tendinitisrhp,177180.83329140794
strainrf,185867.31768981554
start--lhp,206603.21441183967
game--lhp,217922.44479528535
groin,182406.27482279742
day-to-day--infof,178144.31268002442
walking--rhp,180726.55599901508
laceration,238113.1236767193
activities--b,183637.20330395777
pectoralis,203168.4990228026
strain--lhp,204531.9155271349
ribs,177075.5224817988
kneelhp,204440.4257215677
