date,macular degeneration,choking,allergy,anemia,anthrax,apnea,cardiac arrest,asthma,illusion,avian influenza,back pain,back injury,sting,bleeding,high blood pressure,body weight,broken bone,dengue,spotting,contusion,blister,burns,corpses,calculus,colon cancer,cervical cancer,prostate cancer,ovarian cancer,death,cardiovascular disease,encephalopathy,stroke,cholera,alcoholism,copd,chronic diseases,shock,brain injury,cough,cramp,birth defects,drug abuse,alexia,stuttering,diarrhea,tuberculosis,disease,infectious diseases,kidney disease,neurological disorders,dislocation,multiple sclerosis,dizziness,drowning,emergency,vomiting,polio,epilepsy,rash,kidney failure,dementia,fatigue,cystic fibrosis,fibrosis,flushing,seizure,food poisoning,boils,gunshot wounds,hearing loss,heart attack,heart disease,heart failure,hemophilia,hepatitis,hepatitis b,liver cancer,hiccups,hiv infection,fever,blindness,erectile dysfunction,infection,inflammation,influenza,foot injury,ankle injury,head injuries,wrist injury,insomnia,knee injury,underweight,leg injury,leukemia,liver disease,weight loss,lung disease,lymphoma,mad cow disease,breast cancer,malnutrition,measles,melanoma,meningitis,microcephaly,migraine,nausea,kidney cancer,skin cancer,obesity,childhood obesity,osteoarthritis,osteoporosis,drug overdose,overweight,chest pain,pancreatic cancer,paralysis,plague,pneumonia,poisoning,arthritis,preterm birth,brain cancer,coma,hepatitis c,lung cancer,rare diseases,confusion,recurrence,malaria,infertility,rheumatoid arthritis,rupture,scars,sclerosis,sexually transmitted diseases,sleep apnea,spasms,miscarriage,famine,kidney stones,strain,dehydration,sudden death,syndrome,aids,injury,tremors,cancer,ulcers,headache,weight gain,whooping cough,chronic pain,shingles
2007-08,21,22,40,67,19,1,4,70,17,15,4,12,71,50,104,13,10,31,11,2,27,164,34,1,42,40,54,9,965,14,18,207,51,11,37,13,121,19,40,13,11,11,0,4,81,26,1053,41,23,6,61,24,7,35,662,9,41,25,33,4,61,30,0,9,25,47,4,7,12,1,105,78,76,5,53,15,43,5,15,124,25,14,255,39,53,4,14,9,13,17,9,40,4,24,7,22,13,9,23,100,11,5,1,13,0,60,16,18,20,120,7,4,35,5,115,3,24,22,31,27,45,33,14,2,8,26,38,8,67,42,35,14,18,11,24,24,13,1,9,12,29,4,260,8,4,49,121,538,42,957,14,85,23,11,3,2
2007-09,6,10,31,66,9,14,3,102,21,10,9,8,62,55,59,16,3,8,17,4,2,248,40,2,28,10,72,6,968,27,9,222,44,16,0,33,187,9,19,9,22,22,7,2,50,20,870,30,15,7,36,19,0,10,560,18,5,14,26,27,25,39,3,15,55,53,7,7,20,2,249,95,93,1,32,9,11,2,11,44,13,23,143,35,34,2,2,4,6,24,9,59,2,32,3,33,13,21,14,157,22,3,2,15,0,12,21,11,14,118,12,1,59,12,103,8,28,32,13,21,28,69,8,8,13,9,124,4,60,18,31,12,18,8,23,21,3,14,4,17,34,3,230,18,2,69,133,463,46,1318,13,71,25,0,0,6
2007-10,32,27,28,85,11,25,12,92,26,6,17,9,55,62,57,16,4,22,5,9,5,189,44,6,25,48,60,22,1022,16,4,240,32,26,9,28,196,10,89,15,12,50,4,1,39,16,927,28,43,12,30,72,10,27,480,15,14,24,25,6,53,41,9,17,1,59,2,9,19,18,149,61,44,7,74,15,8,15,32,53,20,10,279,36,28,4,12,12,7,11,11,90,2,26,3,18,18,23,8,224,26,0,34,43,0,26,25,4,75,127,8,9,35,7,188,10,6,19,9,32,25,112,8,34,14,46,56,9,52,39,76,29,50,11,18,84,4,32,2,14,32,0,250,21,1,59,157,478,27,1549,9,48,25,2,4,5
2007-11,3,23,36,47,13,1,5,82,17,7,6,4,43,132,88,23,4,34,8,9,1,118,26,0,2,21,38,8,923,50,5,254,83,9,11,16,178,4,18,10,14,31,1,1,63,15,962,37,30,7,41,6,6,29,1314,20,29,23,30,23,22,15,13,21,20,85,5,11,12,2,248,106,102,0,59,9,14,10,36,60,13,12,210,35,36,3,2,2,0,18,14,63,5,21,13,26,10,20,8,63,18,24,6,28,0,22,18,13,6,117,2,3,21,4,128,21,10,25,18,14,24,92,18,20,10,38,74,8,55,32,17,9,37,7,15,7,21,1,5,16,38,0,428,25,2,47,308,408,46,816,5,63,24,7,4,4
2007-12,16,20,96,52,10,13,3,46,9,17,6,1,42,101,97,13,13,19,11,16,5,130,30,4,21,25,30,24,1043,29,5,232,18,9,6,7,175,15,62,6,5,32,3,2,25,19,819,18,5,5,42,32,7,30,629,19,12,15,32,14,46,31,0,10,3,65,7,1,17,0,146,98,51,4,58,13,4,6,14,95,13,14,168,24,41,0,3,11,2,13,16,64,3,65,2,7,15,76,8,170,18,14,16,21,0,18,20,12,4,77,12,9,58,5,107,10,8,20,22,33,26,33,5,13,16,26,34,0,40,36,28,13,18,6,22,38,4,15,6,5,22,0,355,2,14,59,161,417,17,1174,13,50,13,0,3,1
2008-01,0,14,36,40,4,8,25,64,18,20,8,4,51,79,59,12,5,29,5,4,5,184,37,2,37,19,85,42,1082,32,4,247,12,19,0,6,187,3,52,3,18,29,1,11,27,23,912,32,23,5,22,26,6,42,1017,20,5,18,29,14,32,29,9,16,10,40,6,6,12,4,157,122,7,0,77,29,17,9,6,57,18,5,221,39,60,1,12,17,1,18,9,89,14,35,1,25,5,10,8,165,29,14,36,29,0,13,19,7,24,87,2,10,31,11,171,7,8,40,78,83,30,68,10,4,17,40,49,5,108,58,40,9,36,9,16,32,10,11,9,26,35,0,316,2,10,81,89,496,12,1174,19,41,16,14,15,33
2008-02,8,30,24,52,3,22,13,52,21,23,14,5,48,53,68,11,5,1,4,5,1,175,12,0,26,14,66,12,855,18,4,230,8,33,10,15,190,0,20,6,14,52,0,3,26,24,702,27,9,4,30,31,5,34,582,9,1,33,16,8,19,40,12,18,6,77,2,11,15,4,86,70,14,5,41,14,5,8,7,44,18,2,184,27,106,3,19,15,1,13,15,49,1,5,4,15,10,18,4,203,9,19,2,37,1,27,14,18,9,75,2,0,15,4,106,9,6,52,13,21,27,51,5,14,12,17,88,5,72,39,59,6,23,7,24,36,10,20,9,4,23,0,235,4,5,98,139,512,36,1041,9,69,13,1,18,6
2008-03,0,10,95,62,4,19,37,83,18,19,6,8,38,71,55,9,4,36,6,16,1,109,14,0,22,21,20,11,852,16,3,211,6,24,5,6,137,11,33,1,1,44,0,2,17,14,569,24,21,1,61,5,0,32,841,10,0,17,27,5,47,40,27,49,10,75,20,3,26,7,129,75,46,3,29,21,1,13,10,68,16,7,217,38,50,5,12,24,5,7,11,70,1,23,2,26,5,8,4,150,7,5,17,12,0,0,18,2,1,105,4,3,6,9,190,10,16,33,16,30,27,34,5,10,10,4,38,1,58,27,34,7,14,5,20,11,28,16,12,9,32,2,356,7,2,49,164,557,22,900,13,83,18,1,6,6
2008-04,5,14,54,71,20,5,24,50,22,22,4,9,51,60,94,17,6,27,4,6,10,122,22,6,33,16,15,14,926,28,17,200,12,22,22,14,160,4,28,10,11,31,0,9,28,20,905,10,26,4,37,23,5,27,536,8,3,22,23,10,75,27,7,10,13,42,3,17,25,3,142,124,48,1,55,8,4,10,10,71,34,10,153,54,58,3,4,4,0,37,7,79,4,18,11,8,9,16,36,129,27,11,64,7,0,49,13,11,17,84,2,3,53,8,167,9,11,23,12,33,18,85,5,15,12,25,68,4,75,53,143,2,38,13,28,29,8,5,5,7,73,3,346,8,14,49,138,428,5,1076,25,91,26,0,6,4
2008-05,0,13,56,16,5,12,3,92,28,7,18,12,58,107,74,6,8,16,0,7,23,115,70,5,19,8,69,11,998,26,5,260,44,31,26,18,165,3,10,11,30,38,4,4,56,35,969,38,9,2,24,16,13,27,635,13,2,26,51,4,46,33,1,4,7,117,4,8,19,4,136,88,22,1,35,5,7,9,4,75,68,13,150,40,25,7,6,10,5,5,19,40,6,12,1,29,13,8,15,183,38,13,9,38,0,53,18,18,10,117,13,5,31,1,102,5,10,32,37,21,15,72,5,54,14,16,116,0,61,18,65,2,20,2,56,17,13,11,7,10,59,1,208,11,1,51,104,474,103,1260,15,98,17,0,14,44
2008-06,4,9,60,19,11,7,4,72,29,15,12,4,47,72,57,11,5,9,9,11,6,123,35,0,43,20,64,13,745,14,8,251,3,20,11,6,258,12,20,15,12,36,4,13,64,38,860,28,25,4,25,26,10,19,542,30,40,57,15,12,40,38,8,10,4,61,22,13,10,16,118,94,40,2,44,15,13,10,10,56,16,11,264,43,54,8,8,6,12,14,35,72,3,9,10,58,6,11,87,66,33,11,23,15,0,24,38,1,11,83,4,2,21,1,178,25,6,20,25,23,20,113,9,39,12,21,74,1,70,20,37,4,49,6,11,28,11,13,1,5,36,0,262,3,5,31,114,676,57,1075,6,62,21,16,0,6
2008-07,5,11,69,31,8,11,9,119,24,8,7,9,50,57,61,7,7,3,6,25,4,279,21,3,13,9,33,16,648,19,8,174,5,16,3,5,206,0,14,28,23,64,1,15,28,49,739,34,11,5,17,18,1,11,923,8,8,52,18,3,74,51,6,11,5,78,5,5,17,12,84,83,21,14,25,4,6,20,21,64,8,15,213,33,35,2,10,6,5,18,21,105,3,13,12,32,7,21,27,83,23,7,22,4,0,36,10,14,21,107,20,1,33,18,166,13,22,17,13,30,35,69,5,21,6,12,50,4,51,29,58,18,40,21,28,23,9,12,5,10,29,17,279,12,7,48,169,570,26,881,17,97,24,0,1,7
2008-08,0,13,40,9,100,3,6,43,19,17,7,7,47,49,33,17,11,7,3,5,0,152,24,2,10,19,62,18,655,13,18,343,12,18,5,20,191,10,22,10,6,21,0,14,24,32,527,19,11,1,20,25,2,16,664,6,2,27,20,20,29,47,21,23,43,62,37,6,11,3,53,85,24,1,32,15,8,10,32,41,6,14,206,34,44,10,17,5,1,10,28,67,7,15,1,32,14,3,12,80,10,15,2,3,0,9,8,8,24,78,5,6,20,4,147,11,6,27,12,29,61,40,4,16,11,15,24,3,46,33,15,8,14,6,22,30,14,3,4,2,14,1,251,11,11,56,285,703,24,812,9,102,8,1,6,1
2008-09,0,69,72,12,19,7,2,102,24,10,3,5,85,74,43,15,3,0,7,8,2,204,27,1,40,24,53,22,730,22,5,207,18,11,62,19,233,0,16,8,3,23,0,8,28,19,704,6,24,3,55,26,6,18,1283,5,8,21,23,35,6,27,14,16,37,118,10,4,18,11,136,81,26,2,37,6,6,15,19,61,13,14,189,25,39,2,5,6,3,4,10,77,0,21,7,36,19,9,7,142,10,22,36,5,0,25,17,14,13,76,0,17,44,4,158,29,16,47,38,5,74,50,0,23,17,23,80,3,71,32,134,12,17,11,18,38,14,6,7,2,30,144,339,9,3,58,103,418,21,1111,6,68,8,14,5,2
2008-10,11,40,50,19,31,8,17,82,29,10,12,2,93,103,53,5,8,15,7,11,6,157,19,6,23,45,47,13,602,20,14,220,11,7,58,10,269,3,50,11,7,32,6,6,43,38,863,57,5,5,122,24,6,7,1368,20,43,24,50,9,18,18,14,19,9,63,6,8,18,6,144,59,18,1,40,17,12,26,21,67,16,10,279,54,38,1,5,8,0,11,15,73,2,16,8,14,29,24,4,70,17,0,2,18,0,6,12,8,14,107,9,31,17,6,144,8,8,61,15,64,29,150,5,11,10,15,58,1,79,35,36,6,62,13,9,27,4,8,11,7,11,17,567,4,6,65,181,437,23,984,22,72,22,19,6,2
2008-11,1,20,99,17,20,6,2,94,24,3,1,9,116,121,90,16,5,16,0,6,13,216,26,0,19,36,34,13,685,22,3,269,48,11,37,18,300,0,23,4,6,26,1,4,32,18,860,12,21,11,38,16,7,13,776,19,17,57,37,13,48,31,8,20,5,124,19,6,8,1,192,99,97,2,66,7,10,9,6,39,8,7,208,45,32,1,8,0,0,4,6,59,0,37,18,41,16,15,3,111,16,2,5,14,0,28,13,14,10,130,9,10,17,2,127,10,1,23,14,17,20,53,2,20,19,45,83,7,60,53,93,15,16,15,19,17,15,5,3,7,16,5,315,5,7,63,125,363,21,1116,18,41,23,17,26,0
2008-12,1,14,38,16,10,14,5,168,39,11,5,1,108,73,70,16,2,8,2,7,6,122,8,1,15,16,26,20,699,18,2,165,208,15,44,7,203,18,23,0,5,24,0,2,13,25,658,24,10,1,21,18,5,13,930,10,11,45,22,1,14,23,1,12,4,59,3,4,9,11,66,85,70,1,26,3,16,6,12,38,10,7,219,33,58,3,2,1,1,16,6,60,0,23,14,44,26,18,4,152,6,26,6,10,0,21,4,3,1,139,0,8,18,6,144,3,13,31,10,19,22,69,13,6,11,20,62,0,44,30,68,37,24,7,20,23,21,13,8,9,21,9,307,8,2,42,114,372,10,1072,9,73,10,2,10,2
