date,abdominal pain,macular degeneration,choking,allergy,anemia,anorexia,anthrax,apnea,cardiac arrest,asthma,cerebral palsy,illusion,avian flu,back pain,back injury,sting,bleeding,high blood pressure,body weight,broken bones,brain dead,encephalitis,dengue,spotting,shortness of breath,bronchitis,bruises,blisters,burns,corpse,calculus,colon cancer,bladder cancer,cervical cancer,prostate cancer,ovarian cancer,death,cardiovascular disease,cataracts,common cold,encephalopathy,stroke,chills,cholera,alcoholism,copd,chronic diseases,shock,stenosis,brain injury,coronary heart disease,cough,cramps,decapitation,birth defects,substance abuse,sleep deprivation,dyslexia,stuttering,diarrhea,mental retardation,bends,tuberculosis,lyme disease,disease,infectious diseases,kidney disease,neurological disorders,multiple sclerosis,dizziness,binge drinking,drowning,drunkenness,muscular dystrophy,amelia,emergency,vomiting,polio,hernia,mumps,epilepsy,rash,kidney failure,dementia,fatigue,typhoid,cystic fibrosis,fibrosis,flushing,seizure,food allergies,food poisoning,frostbite,boils,carbon monoxide poisoning,stomach cancer,gerd,gonorrhea,gunshot wound,hearing loss,heart attack,heart disease,heart failure,heat stroke,hepatitis,hepatitis b,liver cancer,hiccups,hiv infection,rabies,overeating,fever,hypothermia,blindness,critically ill,erectile dysfunction,bacterial infection,infection,inflammation,influenza,foot injury,spinal injury,ankle injury,head injuries,wrist injury,insomnia,knee injury,lacerations,underweight,leg injury,leprosy,leukemia,liver disease,unconsciousness,weight loss,lung disease,lymphoma,mad cow disease,breast cancer,malnutrition,rubella,measles,melanoma,memory loss,meningitis,microcephaly,migraine,smallpox,oral cancer,maids,nausea,neck injury,thyroid cancer,kidney cancer,skin cancer,testicular cancer,numbness,obesity,hallucinations,childhood obesity,osteoarthritis,osteoporosis,drug overdose,overweight,chest pain,joint pain,pancreatic cancer,paralysis,aches,plague,pneumonia,lead poisoning,poisoning,sepsis,arthritis,polyps,spinal cord injury,postpartum depression,preterm birth,brain tumor,itching,coma,hepatitis c,lung cancer,rare disease,confusion,recurrence,malaria,infertility,severe acute respiratory syndrome,respiratory infections,rheumatoid arthritis,rupture,scars,learning disabilities,sclerosis,sexually transmitted diseases,morning sickness,sids,signs and symptoms,sleep apnea,sneezing,snoring,muscle pain,wheezing,spasms,miscarriage,stab wounds,starvation,vegetative state,stillbirth,kidney stones,strain,dehydration,sudden death,suffocation,sunburn,syndrome,fainting,aids,down syndrome,syphilis,amnesia,tetanus,sore throat,injury,tremors,cancer,ulcers,headaches,hives,warts,weight gain,birth weight,whooping cough,chronic pain,yellow fever,shingles
2001-11,0,0,3,4,2,0,255,0,0,1,0,3,0,0,1,5,3,0,0,1,0,3,0,0,0,2,0,0,18,3,0,0,0,0,2,0,93,0,0,1,0,5,0,0,1,0,0,15,1,0,0,4,1,0,1,1,0,0,0,1,1,0,2,0,70,12,1,0,0,1,0,0,0,0,1,59,1,0,0,0,0,3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,4,2,0,1,0,0,0,0,0,0,4,1,0,0,1,0,20,0,6,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,2,0,0,0,1,0,4,2,0,1,2,3,0,1,0,0,0,2,0,0,1,1,17,3,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,7,0,0,0,0,2,0,10,0,0,0,0,0,27,0,47,1,2,0,0,0,0,0,0,0,0
2001-12,0,0,3,5,2,1,135,0,0,7,0,3,0,0,0,7,9,4,0,6,0,0,0,1,0,0,1,0,8,4,3,1,0,0,2,0,178,0,0,0,0,4,0,0,2,1,0,16,0,0,0,0,0,0,0,6,0,0,0,4,1,1,2,0,58,4,0,0,1,0,0,3,0,0,0,70,4,0,1,0,1,12,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,7,1,2,5,1,0,0,0,1,0,0,0,1,6,0,0,1,0,1,8,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,1,0,1,1,4,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,18,0,2,0,3,2,17,1,0,0,0,0,1,0,0,1,15,12,0,0,1,0,0,0,0,0,0,0,15,0,1,2,0,0,6,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,6,0,1,0,2,0,7,2,1,0,0,0,75,0,34,1,6,0,1,0,0,0,0,0,0
2002-01,0,0,10,1,2,0,66,2,1,3,0,1,0,4,1,5,4,1,0,0,0,0,0,2,1,1,4,0,18,3,0,3,0,0,0,0,159,0,0,0,0,9,1,2,3,0,0,8,0,1,0,7,3,0,0,4,0,0,0,3,0,0,3,0,56,0,0,0,0,0,0,7,0,0,0,52,4,6,0,0,0,4,1,0,1,0,0,0,0,4,0,0,0,1,1,0,0,0,3,0,11,1,1,0,0,0,2,0,2,0,0,4,0,0,1,0,0,11,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,12,0,0,0,0,0,18,0,0,0,3,0,1,1,0,2,0,0,3,0,2,0,0,0,0,0,1,0,16,0,3,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,7,0,0,0,3,2,0,0,0,8,32,34,0,0,0,0,0,60,2,21,0,5,0,0,0,0,0,0,0,0
2002-02,0,0,3,0,2,4,33,0,0,1,0,0,0,0,0,18,1,0,0,0,0,0,0,1,0,0,3,0,17,42,1,4,0,0,0,0,228,1,0,0,1,7,0,0,1,0,3,13,0,0,2,0,1,1,1,6,0,0,0,1,3,0,0,0,73,4,0,0,3,0,0,33,0,0,3,54,0,0,0,0,0,12,0,0,0,0,1,1,1,4,0,0,3,2,0,0,0,0,1,0,3,13,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,12,0,0,0,0,0,4,0,0,0,0,3,4,0,1,1,0,1,0,0,8,17,2,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,5,3,0,0,0,0,8,0,0,0,1,0,3,3,0,1,0,0,0,0,9,0,0,3,0,0,1,1,13,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,6,3,0,1,0,3,1,45,0,0,0,0,0,76,0,59,0,2,0,0,0,0,0,0,0,0
2002-03,0,0,1,4,0,0,38,0,0,4,0,1,0,0,0,23,12,0,0,0,0,0,2,2,0,1,3,0,20,18,0,0,0,0,8,0,229,0,0,0,1,8,1,0,3,0,0,14,1,1,0,5,0,0,1,6,0,1,2,0,1,1,0,0,49,3,0,0,1,0,0,27,1,0,0,62,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,7,0,0,0,1,0,5,0,10,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,8,0,1,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0,8,0,2,0,0,0,24,0,7,1,1,0,0,0,0,0,5,0,1,2,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,6,1,0,0,0,1,0,32,0,0,0,0,2,68,0,59,0,3,0,2,0,0,0,0,0,0
2002-04,0,1,1,3,3,1,13,0,0,0,0,3,0,0,0,17,5,0,1,1,0,0,0,4,0,0,1,0,24,12,0,1,0,0,2,0,185,0,0,0,0,4,2,1,4,0,0,22,0,0,0,2,0,0,1,5,0,0,1,2,0,0,0,0,40,1,0,0,0,0,0,2,0,0,0,44,1,0,1,0,0,0,0,1,2,0,1,1,1,3,0,0,0,1,0,0,0,0,6,0,2,3,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,6,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,2,2,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,2,4,0,0,0,12,0,0,0,2,0,2,2,0,0,0,2,0,1,0,0,0,1,0,0,1,0,9,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,5,0,0,0,0,1,2,3,0,0,1,0,0,95,1,32,0,3,2,0,0,0,0,0,0,0
2002-05,0,0,2,3,0,0,34,0,0,0,3,5,0,0,0,9,2,1,0,0,0,0,0,0,0,0,1,1,18,3,0,0,0,0,0,0,197,0,1,0,0,6,0,6,2,0,0,24,1,1,1,0,1,0,0,14,0,0,0,4,1,0,2,0,45,2,0,1,1,0,2,6,0,0,0,59,4,0,0,0,1,0,0,5,1,0,0,0,0,5,0,3,0,1,0,0,0,0,0,1,5,2,0,0,4,3,0,1,1,0,0,9,1,0,0,0,1,16,0,0,0,0,0,3,0,3,0,2,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,3,0,0,10,0,1,1,0,0,0,0,0,1,6,1,2,1,0,0,8,0,0,0,3,0,1,1,0,7,0,1,0,0,0,0,3,1,2,1,4,0,11,2,2,0,0,1,0,1,1,0,1,5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,6,1,1,0,0,2,1,19,0,1,2,0,1,71,0,37,1,3,0,1,0,0,0,0,0,0
2002-06,0,0,0,2,0,0,90,0,0,1,0,6,0,0,0,4,5,0,0,0,1,0,0,3,0,1,7,0,51,1,1,1,2,0,0,0,171,0,0,0,0,6,1,0,3,0,0,10,0,0,0,2,0,1,0,12,0,0,0,0,2,0,1,0,51,8,1,0,4,0,1,0,0,0,0,80,0,0,0,0,0,4,0,0,3,0,0,0,0,17,0,0,0,3,0,0,0,0,1,1,3,0,0,1,1,0,1,1,0,0,0,5,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,1,0,3,0,0,0,1,0,2,0,0,39,1,0,2,0,4,0,3,0,0,2,0,0,0,0,0,5,1,0,0,1,0,2,0,0,2,0,0,1,0,0,0,0,2,0,1,1,0,13,0,5,0,0,0,0,1,4,0,4,1,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,6,0,0,0,1,3,0,26,0,0,1,0,1,64,0,71,0,4,0,0,0,0,0,0,0,0
2002-07,0,1,3,2,4,0,25,0,1,2,0,3,0,0,0,20,5,8,1,0,0,2,0,0,0,0,4,0,19,0,0,3,0,0,1,0,177,3,0,0,0,15,0,0,2,0,0,20,0,0,2,2,0,0,1,1,0,0,1,0,0,3,1,0,78,4,0,2,2,0,0,2,0,0,0,56,0,6,0,0,1,8,0,0,4,0,0,0,0,7,0,0,0,3,0,0,0,0,3,0,9,18,4,0,0,0,0,0,1,0,3,2,13,0,1,0,0,13,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,4,3,0,0,0,0,0,0,0,24,0,1,2,0,0,0,0,0,0,18,0,0,0,0,0,10,1,0,0,0,0,2,1,0,5,0,2,2,0,2,0,1,0,4,0,2,0,14,3,11,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,1,0,0,1,9,0,78,0,0,0,0,0,79,0,38,0,6,0,3,0,0,0,1,0,0
2002-08,0,0,3,2,2,0,144,0,0,0,0,4,0,0,1,12,6,0,0,0,1,30,0,1,0,0,1,0,13,3,0,5,0,0,0,0,302,0,0,0,0,1,0,0,2,0,1,28,0,0,0,2,0,0,1,13,0,2,1,1,1,0,1,0,135,10,1,2,1,0,0,2,0,0,0,85,2,0,0,0,0,14,0,1,2,1,0,0,1,8,1,0,0,1,0,0,0,0,10,0,3,2,0,0,4,0,0,0,0,0,0,8,0,3,2,0,1,29,7,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,8,6,0,0,3,0,2,0,0,16,0,2,1,0,0,0,5,0,0,3,1,0,0,0,0,3,0,0,0,2,3,9,0,0,3,0,0,2,0,0,0,1,0,3,3,2,1,8,1,8,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,12,1,0,0,3,2,1,16,0,0,0,0,2,68,2,61,1,6,0,0,2,0,0,0,0,0
