date,choking,allergies,anorexia,anthrax,cardiac arrest,asthma,illusion,back pain,sting,bleeding,high blood pressure,body weight,broken bones,brain death,dengue,spotting,bruises,blister,burn,corpse,calculus,colon cancer,cervical cancer,prostate cancer,ovarian cancer,death,cardiovascular disease,encephalopathy,stroke,chills,cholera,alcoholism,chronic disease,shock,strictures,brain injury,cough,cramps,decapitation,birth defects,substance abuse,sleep deprivation,dyslexia,stuttering,diarrhea,idiocy,bends,tuberculosis,disease,infectious diseases,dislocation,multiple sclerosis,drowning,drunkenness,amelia,emergency,vomiting,polio,mumps,aura,rash,dementia,fatigue,fibrosis,flushing,seizure,boils,gonorrhea,gunshot wound,heart attack,heart disease,heart failure,hepatitis,hiccup,hiv infection,fever,blindness,impotence,infection,inflammation,influenza,head injuries,insomnia,lacerations,underweight,leukemia,weight loss,lymphoma,breast cancer,malnutrition,rubella,measles,melanoma,memory loss,meningitis,microcephaly,migraines,smallpox,maids,nausea,obesity,hallucinations,childhood obesity,drug overdose,overweight,pancreatic cancer,paralysis,aches,plague,pneumonia,poisoning,arthritis,brain tumor,itching,coma,hepatitis c,lung cancer,confusion,relapse,malaria,infertility,rupture,scars,learning disabilities,sclerosis,stds,morning sickness,snoring,crackle,spasms,miscarriage,famine,strain,dehydration,sudden death,syndrome,fainting,aids,down syndrome,syphilis,amnesia,injury,tremors,cancer,ulcers,headache,warts,weight gain,pertussis,chronic pain
2004-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1346153846153846,0.10714285714285714,0.2222222222222222,0.25,0.0,0.045454545454545456,0.25,0.08376963350785341,0.0,0.0,0.10810810810810811,0.0,0.0,0.05555555555555555,0.0,0.2916666666666667,0.0,0.0,0.09523809523809523,0.0,0.2857142857142857,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,0.0,0.2,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.1111111111111111,0.0,0.05,0.058823529411764705,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.1111111111111111,0.07142857142857142,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.061224489795918366,0.0,0.0,0.014285714285714285,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.25,0.0,0.0,0.06666666666666667,0.05,0.16666666666666666,0.03225806451612903,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.20689655172413793,0.0,0.05263157894736842,0.14285714285714285,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.046511627906976744,0.0,0.07894736842105263,0.047619047619047616,0.0,0.0,0.10810810810810811,0.0,0.10126582278481013,0.0,0.0,0.2857142857142857,0.0,0.0,0.07692307692307693
2008-11,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.2916666666666667,0.047619047619047616,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17307692307692307,0.03571428571428571,0.1111111111111111,0.0,0.0,0.045454545454545456,0.0,0.12041884816753927,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.10416666666666667,0.25,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.1111111111111111,0.0,0.05,0.11764705882352941,0.0,0.0,0.07407407407407407,0.2222222222222222,0.0,0.08333333333333333,0.05555555555555555,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.16666666666666666,0.0,0.06896551724137931,0.0,0.0,0.14285714285714285,0.3076923076923077,0.0,0.05,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.13793103448275862,0.09523809523809523,0.0,0.6428571428571429,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.2,0.0,0.0,0.09090909090909091,0.0,0.25,0.11627906976744186,0.0,0.013157894736842105,0.047619047619047616,0.02702702702702703,0.1111111111111111,0.07432432432432433,0.16666666666666666,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0.0
2008-12,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.18181818181818182,0.0,0.25,0.047619047619047616,0.0,0.0,0.0,0.03125,0.0,0.0,0.07692307692307693,0.2,0.1346153846153846,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.07329842931937172,0.0,0.0,0.13513513513513514,0.0,0.0,0.1111111111111111,0.0,0.14583333333333334,0.0,0.0,0.047619047619047616,0.043478260869565216,0.2857142857142857,0.0,0.07692307692307693,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.018018018018018018,0.0,0.16666666666666666,0.0,0.2,0.0,0.0,0.05263157894736842,0.0,0.047619047619047616,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.05,0.0,0.0,0.0,0.07142857142857142,0.1,0.0,0.0,0.6153846153846154,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.023255813953488372,0.25,0.02631578947368421,0.0,0.0,0.0,0.060810810810810814,0.0,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0.0
2009-01,0.1,0.038461538461538464,0.0,0.018518518518518517,0.0,0.0,0.13636363636363635,0.0,0.125,0.14285714285714285,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09615384615384616,0.17857142857142858,0.1111111111111111,0.0,0.13333333333333333,0.0,0.125,0.1256544502617801,0.0,0.0,0.13513513513513514,0.16666666666666666,0.0,0.0,0.09090909090909091,0.20833333333333334,0.0,0.0,0.23809523809523808,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.08108108108108109,0.0,0.0,0.0,0.3,0.0,0.06666666666666667,0.06578947368421052,0.06666666666666667,0.047619047619047616,0.0,0.4444444444444444,0.16666666666666666,0.0,0.17647058823529413,0.0,0.2,0.0,0.0,0.0,0.0,0.1111111111111111,0.09523809523809523,0.0,0.0,0.0,0.16666666666666666,0.034482758620689655,0.1111111111111111,0.07142857142857142,0.030303030303030304,0.047619047619047616,0.0,0.0,0.25,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.03225806451612903,0.0,0.7142857142857143,0.0,0.12,0.4,0.15384615384615385,0.0,0.125,0.20689655172413793,0.0,0.10526315789473684,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.043478260869565216,0.03125,0.21212121212121213,0.0,0.0,0.046511627906976744,0.0,0.3157894736842105,0.0,0.02702702702702703,0.1111111111111111,0.06756756756756757,0.3333333333333333,0.14556962025316456,0.0,0.04838709677419355,0.2857142857142857,0.09090909090909091,0.0,0.0
2009-02,0.1,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.16666666666666666,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.5,0.15384615384615385,0.0,0.11538461538461539,0.10714285714285714,0.1111111111111111,0.0,0.06666666666666667,0.045454545454545456,0.0,0.17277486910994763,0.0,0.0,0.2702702702702703,0.16666666666666666,0.0,0.05555555555555555,0.0,0.20833333333333334,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.125,0.0,0.07692307692307693,0.4,0.0,0.04954954954954955,0.0,0.0,0.0,0.5,0.0,0.0,0.15789473684210525,0.13333333333333333,0.0,0.0,0.2222222222222222,0.25,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.1896551724137931,0.1111111111111111,0.0,0.015151515151515152,0.0,0.038461538461538464,0.0,0.125,0.0,0.0,0.0,0.13333333333333333,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.6666666666666666,0.0,0.06896551724137931,0.125,0.0,0.0,0.15384615384615385,0.06666666666666667,0.05,0.3333333333333333,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.125,0.27586206896551724,0.0,0.3157894736842105,0.0,0.2,0.1111111111111111,0.5,0.0,0.25,0.0,0.0,0.2,0.0,0.0,0.0625,0.09090909090909091,0.0,0.0,0.0,0.0,0.06578947368421052,0.0,0.0,0.0,0.10135135135135136,0.16666666666666666,0.13291139240506328,0.0,0.03225806451612903,0.0,0.36363636363636365,0.0,0.0
2009-03,0.1,0.038461538461538464,0.08695652173913043,0.018518518518518517,0.0,0.0,0.3181818181818182,0.0,0.08333333333333333,0.14285714285714285,0.0625,0.25,0.25,0.0,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.1111111111111111,0.0,0.0,0.045454545454545456,0.0,0.13612565445026178,0.42857142857142855,0.0,0.2702702702702703,0.16666666666666666,0.0,0.1111111111111111,0.45454545454545453,0.3125,0.0,0.0,0.09523809523809523,0.0,0.0,0.06666666666666667,0.0,0.1111111111111111,0.0,0.0,0.0,0.07692307692307693,0.0,0.09090909090909091,0.05855855855855856,0.0,0.0,0.0,0.1,0.0,0.0,0.2236842105263158,0.13333333333333333,0.047619047619047616,0.0,0.05555555555555555,0.08333333333333333,0.1,0.058823529411764705,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.047619047619047616,0.0,0.0,0.25,0.0,0.06896551724137931,0.1111111111111111,0.0,0.030303030303030304,0.0,0.0,0.0,0.125,0.2,0.0,0.0,0.0,0.125,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.38461538461538464,0.0,0.1,0.0,0.03225806451612903,0.0,0.14285714285714285,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.2413793103448276,0.0,0.0,0.0,0.0,0.05555555555555555,0.5,0.0,0.08333333333333333,0.0,0.0,0.4,0.0,0.043478260869565216,0.0,0.09090909090909091,0.0,0.0,0.046511627906976744,0.0,0.039473684210526314,0.047619047619047616,0.0,0.1111111111111111,0.14864864864864866,0.0,0.13924050632911392,0.16666666666666666,0.016129032258064516,0.14285714285714285,0.09090909090909091,0.0,0.0
2009-04,0.1,0.3076923076923077,0.5217391304347826,0.0,0.1111111111111111,0.0,0.2727272727272727,0.0,0.375,0.14285714285714285,0.0625,0.5,0.5,0.0,0.0,0.16666666666666666,0.15384615384615385,0.0,0.15384615384615385,0.17857142857142858,0.4444444444444444,0.0,0.0,0.0,0.25,0.15706806282722513,0.14285714285714285,0.0,0.05405405405405406,0.0,0.0,0.16666666666666666,0.0,0.1875,0.0,0.13636363636363635,0.0,0.08695652173913043,0.0,0.06666666666666667,0.2692307692307692,0.5555555555555556,0.045454545454545456,0.125,0.06666666666666667,0.15384615384615385,0.0,0.0,0.0990990990990991,0.0,0.0,0.0,0.1,0.0,0.0,0.19736842105263158,0.0,0.047619047619047616,0.0,0.05555555555555555,0.08333333333333333,0.0,0.23529411764705882,0.0,0.4,0.25925925925925924,0.5555555555555556,0.0,0.0,0.1111111111111111,0.047619047619047616,0.0,0.05555555555555555,0.25,0.0,0.10344827586206896,0.1111111111111111,0.07142857142857142,0.015151515151515152,0.0,0.11538461538461539,0.0,0.25,0.0,0.2,0.2222222222222222,0.13333333333333333,0.125,0.061224489795918366,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0625,0.16666666666666666,0.1111111111111111,0.034482758620689655,0.0,0.0,0.0,0.3076923076923077,0.06666666666666667,0.1,0.0,0.12903225806451613,0.0,0.14285714285714285,0.0,0.04,0.0,0.0,0.16666666666666666,0.0,0.06896551724137931,0.0,0.2631578947368421,0.07142857142857142,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.21212121212121213,0.0,0.0,0.13953488372093023,0.0,0.15789473684210525,0.0,0.02702702702702703,0.0,0.25,0.0,0.15822784810126583,0.3333333333333333,0.11290322580645161,0.0,0.0,0.0,0.07692307692307693
2009-05,0.1,0.07692307692307693,0.043478260869565216,0.018518518518518517,0.1111111111111111,0.0,0.22727272727272727,0.08333333333333333,0.125,0.19047619047619047,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.07142857142857142,0.2222222222222222,0.0,0.0,0.0,0.0,0.24083769633507854,0.0,0.0,0.1891891891891892,0.3333333333333333,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.4444444444444444,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.11261261261261261,0.0,0.0,0.0,0.4,0.0,0.0,0.17105263157894737,0.0,0.0,0.0,0.2222222222222222,0.16666666666666666,0.15,0.11764705882352941,0.0,0.0,0.07407407407407407,0.2222222222222222,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.25,0.16666666666666666,0.08620689655172414,0.1111111111111111,0.0,0.07575757575757576,0.0,0.11538461538461539,0.0,0.0,0.0,0.4,0.2222222222222222,0.5333333333333333,0.125,0.061224489795918366,0.2,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.09090909090909091,0.0625,0.0,0.0,0.3793103448275862,0.125,0.25,0.0,0.5384615384615384,0.06666666666666667,0.05,0.0,0.06451612903225806,0.0,0.14285714285714285,0.0,0.12,0.2,0.23076923076923078,0.0,0.25,0.2413793103448276,0.0,0.0,0.0,0.0,0.16666666666666666,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.30303030303030304,0.0,0.0,0.09302325581395349,0.0,0.05263157894736842,0.047619047619047616,0.0,0.3333333333333333,0.11486486486486487,0.0,0.15822784810126583,0.0,0.016129032258064516,0.0,0.0,0.0,0.0
2009-06,0.5,0.0,0.0,0.14814814814814814,0.1111111111111111,0.0,0.4090909090909091,0.0,0.4166666666666667,0.14285714285714285,0.0,0.0,0.25,0.03125,0.0,0.0,0.38461538461538464,0.0,0.07692307692307693,0.21428571428571427,0.2222222222222222,0.25,0.0,0.0,0.0,0.3481675392670157,0.0,0.0,0.05405405405405406,0.16666666666666666,0.0,0.1111111111111111,0.0,0.375,0.25,0.0,0.047619047619047616,0.043478260869565216,0.0,0.0,0.07692307692307693,0.1111111111111111,0.0,0.25,0.0,0.07692307692307693,0.6,0.0,0.06306306306306306,0.0,0.16666666666666666,0.0,0.3,0.0,0.3333333333333333,0.21052631578947367,0.0,0.0,0.0,0.4444444444444444,0.08333333333333333,0.0,0.17647058823529413,0.0,0.0,0.07407407407407407,0.2222222222222222,0.0,0.16666666666666666,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1206896551724138,0.0,0.07142857142857142,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.2,0.0,0.0,0.16129032258064516,0.04,0.07142857142857142,0.0,0.08,0.0,0.0,0.0,0.0,0.06896551724137931,0.09523809523809523,0.10526315789473684,0.0,0.4,0.0,0.0,0.0,0.16666666666666666,0.0,0.2222222222222222,0.2,0.0,0.0,0.03125,0.18181818181818182,0.125,0.25,0.16279069767441862,0.0,0.09210526315789473,0.047619047619047616,0.02702702702702703,0.1111111111111111,0.22297297297297297,0.16666666666666666,0.189873417721519,0.16666666666666666,0.03225806451612903,0.14285714285714285,0.2727272727272727,0.0,0.0
