krabbe,109562.23700746323
tick-borne,131071.75313549345
neuroinvasive,177868.28533504414
newbornsnov,166380.77852436207
transmitted,120444.67064759463
defect,291462.4738622855
hospital-acquired,142627.47919973382
schistosomiasis,153227.4193486657
flavivirus,157448.54766173955
meningococcemia,119124.67785188888
abnormalities,112812.87817615125
chlamydia,108339.90301456206
coxsackievirus,118346.60762554701
birth,226427.53349441924
tickborne,112793.45224213159
congenital,122837.58178997067
guillain-barré,108790.74363895059
laboratory-confirmed,161327.83920058474
americasthere,146368.37694995498
defects,334458.6120552182
hemorrhagic,135216.12925183485
mers-cov,168658.03468706406
encephalitisthe,139431.80084558547
infection,292858.44518035045
x-linked,114761.86142168897
gonorrhea,111685.6532254653
mosquito-spread,111630.91636591322
babies,190740.27511009265
virus,289659.1500605249
rashoct,155934.72873177694
cmv,109112.25295805314
meningitisthe,110814.13980842722
zika-positive,110676.28052199402
syndrome,137948.15164487722
microcephalythe,370100.68022743746
causes,141599.24379100004
cronobacter,110575.84051357799
drug-resistant,113678.34227728745
trichomoniasis,119352.48238730973
linked,107686.74860223774
polynesiamarch,191333.46738577777
infected,155818.65680276384
saidzika,243670.85167844818
vte,110155.37304740859
ev-d,142307.89028271168
syphilis,127002.75394578355
dengue,135762.22515973749
chikungunya,172967.00837769036
enteroviruses,123070.92420835231
encephalitis,141483.71844436042
zikamay,162943.8286778544
severe,132434.2822368269
zikathe,267849.1763905637
microcephalymarch,173067.8168523269
infectionsthis,129874.29647251277
zikain,136271.6991942694
enterovirus,135075.5711055308
abnormally,130308.27644015026
zika-related,446325.60850596224
vcjd,118619.68287323059
rodriguez-morales,176856.21777079286
infections,244721.64571421748
mosquito-borne,194985.43545192617
statesjuly,124001.64081587968
locally-transmitted,166768.25839069422
guillain-barre,264739.486673171
outbreakhe,108865.52903130038
zikas,213994.76842429637
zika-infected,108100.9461695311
zikalinked,257424.95673164452
listeriosis,114665.92721137845
outbreaks,119025.37605940814
elizabethkingia,158327.16224895255
xmrv,117149.61903052655
mosquito-transmitted,184022.70514637732
problemsbrazil,139986.8083328739
zikaoct,265125.08770521113
zikarelated,217078.7366091067
malformations,131355.83901772535
bacterial,154892.12018666518
zika’s,118519.22420017298
zikaa,272586.31062879803
herpes,118799.03974900085
subtype,115659.942289242
lyme,113028.09942988145
powassan,177061.34053226266
mosquitoborne,119073.29972361392
viruszika,237178.82902590334
cases,124265.09787184118
nigerias-s,151668.51610577025
zika-linked,390175.8028282536
rabies,110969.50354869022
newborns,131808.54958889374
mers,123143.63276087325
babesiosis,141238.92363758475
microcephalyin,132364.38536008095
liver-related,115032.79344655457
zika,256319.11901426528
measles,111068.02511861578
poliovirus,111808.54085896585
